# 母集団: 福岡県で精密板金・金属加工を手がけ、自社の公式サイトを持つ企業
# 出典: 公開検索および各社公式サイト（2026-08-01 確認）
# 用途: レポート送付の実務用。公式サイトが分かっているので連絡先をたどれる。
# 注記: 記事の集計には使わない。検索で見つかる＝すでに発信できている企業に偏るため、
#       「AIに認識されている率」が実態より高く出る。記事用の母集団は
#       parts_net_kitakyushu.csv（公開名簿・全社）を使うこと。
#       正式名称・所在地が一次情報で確認できなかった企業は載せていない。
name,url,product,industry,pref,contact,note
株式会社玄海技研工業,https://www.genkaigiken.co.jp/,精密板金・金属プレス加工,精密板金,福岡県,,福岡市早良区
株式会社Fugen,https://2435.co.jp/,精密板金一貫加工,精密板金,福岡県,,須恵町
株式会社宝,https://takara-metal.jp/,精密板金・レーザー加工・タレパン,精密板金,福岡県,,同名多数の社名
ケイエルテック株式会社,https://www.kl-tech.jp/,精密板金加工・金属焼付塗装,精密板金,福岡県,,粕屋郡宇美町
大野工業株式会社,https://ohnokk.com/,金属加工・ロール製作,金属加工,福岡県,,北九州市
株式会社西本町鉄工所,https://www.nishihonmachi.co.jp/,旋盤加工・多品種少量の高精度部品,金属加工,福岡県,,北九州市
株式会社勝山工作所,http://katuyama.co.jp/,プレス加工・機械加工・組立,金属加工,福岡県,,北九州市若松区
有限会社三江工業所,https://www.sanko2951.co.jp/,モーター部品・産業用ロボット部品の旋盤加工,金属加工,福岡県,,北九州市八幡西区
株式会社フリント,https://www.flint-sk.jp/,精密プレス金型製作,金型・プレス,福岡県,,
森尾プレス工業株式会社,http://www.morio-p.co.jp/,プレス金型・プレス加工,金型・プレス,福岡県,,福岡市／大分県中津市
株式会社フクヤマ,https://www.k-fukuyama.co.jp/,プレス加工・金型の設計製作,金型・プレス,福岡県,,
株式会社中村プレス,https://www.nakamura-press.co.jp/,溶接・プレス加工,金型・プレス,福岡県,,
株式会社久留米鉄工,https://www.kurume-tekko.co.jp/,金属・建設工事,金属加工,福岡県,,久留米市
