# 母集団: パーツネット北九州「金属加工グループ」加盟企業（掲載順・全社／抜き取りなし）
# 出典: https://parts-net-kitakyushu.jp/accession/?_type=category&_cat=metal
# 取得日: 2026-08-01
# 注記: 名簿には所在地・公式サイトURLの記載がないため url / pref は空欄にしている。
#       推測で埋めない（間違った1件が記事全体の信用を消す）。
name,url,product,industry,pref,contact,note
株式会社桑野鐵工所,,,金属加工,,,
戸畑鉄工株式会社,https://www.tobata-iron.co.jp/,,金属加工,,,
株式会社高木製作所,,,金属加工,,,
ブラザー工業株式会社,,,金属加工,,,同名の大手企業あり（名簿の掲載は久留米の市外局番0942）
株式会社鈴木研磨,,,金属加工,,,
株式会社アクア,,,金属加工,,,同名多数
株式会社清水工作所,,,金属加工,,,
大阪精工株式会社,,,金属加工,,,
株式会社三五九州,,,金属加工,,,
株式会社戸畑製作所,,,金属加工,,,
太田機工株式会社,,,金属加工,,,
新日本バネ工業株式会社,,,金属加工,,,
千代田工業九州株式会社,,,金属加工,,,
株式会社テクノステート,,,金属加工,,,
株式会社戸畑ターレット工作所,,,金属加工,,,
株式会社中島ターレット,,,金属加工,,,
九州シロキ株式会社,,,金属加工,,,
有限会社橋本技研工業,,,金属加工,,,
有限会社英ルーテック,,,金属加工,,,
松本工業株式会社,,,金属加工,,,
八幡金属株式会社,,,金属加工,,,
有限会社恒成工作所,,,金属加工,,,
株式会社サンノハシ,,,金属加工,,,
インター精工株式会社,,,金属加工,,,
株式会社川村製作所,http://www.kawamuramfg.co.jp/,,金属加工,,,
株式会社富士プレス,,,金属加工,,,
株式会社河村工機製作所,,,金属加工,,,
旭国際テクネイオン株式会社,,,金属加工,,,
株式会社城南九州製作所,,,金属加工,,,
株式会社ロジコム,,,金属加工,,,同名多数
株式会社ヨコヤマ精工,,,金属加工,,,
豊田合成九州株式会社,,,金属加工,,,
