date	impressions	clicks	position
2026-07-18	0	0	0.0
2026-07-19	5	0	5.6
2026-07-20	44	2	18.5
2026-07-21	60	5	20.6
2026-07-22	38	2	14.7
2026-07-23	19	1	12.7
2026-07-24	47	2	11.9
2026-07-25	67	0	14.5
2026-07-26	104	3	15.5
2026-07-27	116	4	14.1
2026-07-28	112	2	25.6
2026-07-29	129	3	13.7
2026-07-30	139	3	25.1
2026-07-31	90	2	23.6
2026-08-01	71	4	27.0
2026-08-02	88	4	27.8
2026-08-03	84	4	28.4
2026-08-04	97	2	35.3
2026-08-05	88	2	21.6
2026-08-06	82	1	28.2
2026-08-07	75	2	29.8
2026-08-08	73	6	22.5
2026-08-09	108	2	16.8
2026-08-10	68	2	10.2
2026-08-11	103	3	8.1
2026-08-12	80	1	12.7
2026-08-13	80	3	7.9
2026-08-14	41	0	17.0
2026-08-15	23	0	29.4
2026-08-16	5	0	41.6
2026-08-17	8	0	38.6
