date	articles_imp	articles_clk	news_imp	news_clk	papers_imp	papers_clk	other_imp	other_clk
2026-08-15	351	10	1321	38	264	2	122	13
2026-08-16	370	11	1419	40	271	2	124	13
2026-08-17	370	11	1439	40	275	2	124	13
2026-08-18	372	11	1440	40	276	2	120	13
2026-08-19	353	11	1439	40	255	1	117	12
2026-08-20	318	8	1451	40	241	0	113	11
2026-08-21	297	6	1446	40	233	0	106	11
2026-08-22	289	5	1453	40	225	0	96	11
2026-08-23	283	5	1428	39	217	0	92	10
2026-08-24	271	5	1391	39	202	0	91	10
2026-08-25	260	4	1326	38	187	0	84	8
2026-08-26	248	4	1256	36	161	0	73	6
2026-08-27	244	4	1170	34	143	0	73	6
2026-08-28	232	4	1076	32	132	0	67	5
